Transition Profile during evaluationwithout reward shaping:
Q-table shape: (5, 5, 6, 7, 3)
State choice: ['storage_level', 'price', 'hour', 'Day_of_Week']
State bin size: [10, 10, 6, 7]
Bins length: 4
Bins: [array([  0.,  29.,  58.,  87., 116., 145., 174., 203., 232., 261., 290.]), array([1.000000e-02, 2.500090e+02, 5.000080e+02, 7.500070e+02,
       1.000006e+03, 1.250005e+03, 1.500004e+03, 1.750003e+03,
       2.000002e+03, 2.250001e+03, 2.500000e+03]), array([ 1.,  5.,  9., 13., 17., 21., 25.]), array([0.        , 0.85714286, 1.71428571, 2.57142857, 3.42857143,
       4.28571429, 5.14285714, 6.        ])]
Discount rate: 0.95
Small reward: 50000
Large reward: 100000
Learning rate: 0.05
N simulations: 10
State: [10. 26.  7.  9.], Action: 2, Reward: -260.0, Next state: [20.   36.54  8.    9.  ]
State: [20.   36.54  8.    9.  ], Action: 2, Reward: -365.4, Next state: [30. 40.  9.  9.]
State: [30. 40.  9.  9.], Action: 0, Reward: -0.0, Next state: [30.   39.33 10.    9.  ]
State: [30.   39.33 10.    9.  ], Action: 2, Reward: -393.29999999999995, Next state: [40.   40.69 11.    9.  ]
State: [40.   40.69 11.    9.  ], Action: 2, Reward: -406.9, Next state: [50. 42. 12.  9.]
State: [50. 42. 12.  9.], Action: 2, Reward: -420.0, Next state: [60.   39.28 13.    9.  ]
State: [60.   39.28 13.    9.  ], Action: 0, Reward: -0.0, Next state: [60.   37.86 14.    9.  ]
State: [60.   37.86 14.    9.  ], Action: 0, Reward: -0.0, Next state: [60. 36. 15.  9.]
State: [60. 36. 15.  9.], Action: 0, Reward: -0.0, Next state: [60.   32.31 16.    9.  ]
State: [60.   32.31 16.    9.  ], Action: 0, Reward: -0.0, Next state: [60.   38.76 17.    9.  ]
State: [60.   38.76 17.    9.  ], Action: 0, Reward: -0.0, Next state: [60.   47.82 18.    9.  ]
State: [60.   47.82 18.    9.  ], Action: 0, Reward: -0.0, Next state: [60.   54.14 19.    9.  ]
State: [60.   54.14 19.    9.  ], Action: 0, Reward: -541.4, Next state: [70.  48.1 20.   9. ]
State: [70.  48.1 20.   9. ], Action: 0, Reward: -481.0, Next state: [80.   44.95 21.    9.  ]
State: [80.   44.95 21.    9.  ], Action: 0, Reward: -449.5, Next state: [90. 30. 22.  9.]
State: [90. 30. 22.  9.], Action: 0, Reward: -300.0, Next state: [100.   27.5  23.    9. ]
State: [100.   27.5  23.    9. ], Action: 0, Reward: -275.0, Next state: [110.    23.13  24.     9.  ]
State: [110.    23.13  24.     9.  ], Action: 0, Reward: -231.29999999999998, Next state: [ 0.   12.43  1.   10.  ]
State: [ 0.   12.43  1.   10.  ], Action: 1, Reward: -124.3, Next state: [10.   15.09  2.   10.  ]
State: [10.   15.09  2.   10.  ], Action: 1, Reward: -150.9, Next state: [20.   13.04  3.   10.  ]
State: [20.   13.04  3.   10.  ], Action: 1, Reward: -130.39999999999998, Next state: [30.   12.01  4.   10.  ]
State: [30.   12.01  4.   10.  ], Action: 0, Reward: -0.0, Next state: [30.   11.26  5.   10.  ]
State: [30.   11.26  5.   10.  ], Action: 0, Reward: -0.0, Next state: [30. 16.  6. 10.]
State: [30. 16.  6. 10.], Action: 1, Reward: -160.0, Next state: [40.   21.01  7.   10.  ]
State: [40.   21.01  7.   10.  ], Action: 1, Reward: -210.10000000000002, Next state: [50. 36.  8. 10.]
State: [50. 36.  8. 10.], Action: 1, Reward: -360.0, Next state: [60.   35.87  9.   10.  ]
