Transition Profile during evaluation with reward shaping:
Q-table shape: (10, 10, 6, 7, 3)
State choice: ['storage_level', 'price', 'hour', 'Day_of_Week']
State bin size: [5, 5, 6, 7]
Bins length: 4
Bins: [array([  0.,  58., 116., 174., 232., 290.]), array([1.000000e-02, 5.998080e+02, 1.199606e+03, 1.799404e+03,
       2.399202e+03, 2.999000e+03]), array([ 1.,  5.,  9., 13., 17., 21., 25.]), array([0.        , 0.85714286, 1.71428571, 2.57142857, 3.42857143,
       4.28571429, 5.14285714, 6.        ])]
Discount rate: 0.95
Small reward: 50000
Large reward: 100000
Learning rate: 0.05
N simulations: 1000
State: [ 0.   51.69  7.    6.  ], Action: 0, Reward: -0.0, Next state: [ 0.  56.9  8.   6. ]
State: [ 0.  56.9  8.   6. ], Action: 0, Reward: -0.0, Next state: [ 0.   56.95  9.    6.  ]
State: [ 0.   56.95  9.    6.  ], Action: 0, Reward: -0.0, Next state: [ 0.   49.75 10.    6.  ]
State: [ 0.   49.75 10.    6.  ], Action: 0, Reward: -0.0, Next state: [ 0.   52.31 11.    6.  ]
State: [ 0.   52.31 11.    6.  ], Action: 0, Reward: -0.0, Next state: [ 0.   68.16 12.    6.  ]
State: [ 0.   68.16 12.    6.  ], Action: 0, Reward: -0.0, Next state: [ 0.   66.19 13.    6.  ]
State: [ 0.   66.19 13.    6.  ], Action: 0, Reward: -661.9, Next state: [10.   61.24 14.    6.  ]
State: [10.   61.24 14.    6.  ], Action: 0, Reward: -612.4, Next state: [20.  59.7 15.   6. ]
State: [20.  59.7 15.   6. ], Action: 0, Reward: -597.0, Next state: [30.   54.63 16.    6.  ]
State: [30.   54.63 16.    6.  ], Action: 0, Reward: -546.3000000000001, Next state: [40. 51. 17.  6.]
State: [40. 51. 17.  6.], Action: 0, Reward: -510.0, Next state: [50.   66.99 18.    6.  ]
State: [50.   66.99 18.    6.  ], Action: 0, Reward: -669.9, Next state: [60. 75. 19.  6.]
State: [60. 75. 19.  6.], Action: 0, Reward: -750.0, Next state: [70.  56.9 20.   6. ]
State: [70.  56.9 20.   6. ], Action: 0, Reward: -569.0, Next state: [80.   43.56 21.    6.  ]
State: [80.   43.56 21.    6.  ], Action: 0, Reward: -435.6, Next state: [90.  40.5 22.   6. ]
State: [90.  40.5 22.   6. ], Action: 0, Reward: -405.0, Next state: [100.    56.36  23.     6.  ]
State: [100.    56.36  23.     6.  ], Action: 0, Reward: -563.6, Next state: [110.    58.98  24.     6.  ]
State: [110.    58.98  24.     6.  ], Action: 0, Reward: -589.8, Next state: [ 0. 40.  1.  7.]
State: [ 0. 40.  1.  7.], Action: 0, Reward: -0.0, Next state: [ 0.   38.02  2.    7.  ]
State: [ 0.   38.02  2.    7.  ], Action: 0, Reward: -0.0, Next state: [ 0.   34.99  3.    7.  ]
State: [ 0.   34.99  3.    7.  ], Action: 0, Reward: -0.0, Next state: [ 0.   33.65  4.    7.  ]
State: [ 0.   33.65  4.    7.  ], Action: 0, Reward: -0.0, Next state: [ 0. 32.  5.  7.]
State: [ 0. 32.  5.  7.], Action: 0, Reward: -0.0, Next state: [ 0.   32.82  6.    7.  ]
State: [ 0.   32.82  6.    7.  ], Action: 0, Reward: -0.0, Next state: [ 0.  39.1  7.   7. ]
State: [ 0.  39.1  7.   7. ], Action: 0, Reward: -0.0, Next state: [ 0.   52.65  8.    7.  ]
State: [ 0.   52.65  8.    7.  ], Action: 0, Reward: -0.0, Next state: [ 0. 59.  9.  7.]
State: [ 0. 59.  9.  7.], Action: 0, Reward: -0.0, Next state: [ 0.   62.66 10.    7.  ]
State: [ 0.   62.66 10.    7.  ], Action: 0, Reward: -0.0, Next state: [ 0.  61.1 11.   7. ]
State: [ 0.  61.1 11.   7. ], Action: 0, Reward: -0.0, Next state: [ 0.   62.86 12.    7.  ]
State: [ 0.   62.86 12.    7.  ], Action: 0, Reward: -0.0, Next state: [ 0. 63. 13.  7.]
State: [ 0. 63. 13.  7.], Action: 0, Reward: -630.0, Next state: [10.  70.8 14.   7. ]
State: [10.  70.8 14.   7. ], Action: 0, Reward: -708.0, Next state: [20.  66.4 15.   7. ]
State: [20.  66.4 15.   7. ], Action: 0, Reward: -664.0, Next state: [30.   55.75 16.    7.  ]
State: [30.   55.75 16.    7.  ], Action: 0, Reward: -557.5, Next state: [40.   60.12 17.    7.  ]
State: [40.   60.12 17.    7.  ], Action: 0, Reward: -601.1999999999999, Next state: [50.   77.44 18.    7.  ]
State: [50.   77.44 18.    7.  ], Action: 0, Reward: -774.4, Next state: [60. 70. 19.  7.]
State: [60. 70. 19.  7.], Action: 0, Reward: -700.0, Next state: [70.   59.95 20.    7.  ]
State: [70.   59.95 20.    7.  ], Action: 0, Reward: -599.5, Next state: [80. 54. 21.  7.]
State: [80. 54. 21.  7.], Action: 0, Reward: -540.0, Next state: [90. 48. 22.  7.]
State: [90. 48. 22.  7.], Action: 0, Reward: -480.0, Next state: [100.    46.47  23.     7.  ]
State: [100.    46.47  23.     7.  ], Action: 0, Reward: -464.7, Next state: [110.    43.94  24.     7.  ]
State: [110.    43.94  24.     7.  ], Action: 0, Reward: -439.4, Next state: [ 0.   47.96  1.    8.  ]
State: [ 0.   47.96  1.    8.  ], Action: 0, Reward: -0.0, Next state: [ 0.   49.02  2.    8.  ]
State: [ 0.   49.02  2.    8.  ], Action: 0, Reward: -0.0, Next state: [ 0. 37.  3.  8.]
State: [ 0. 37.  3.  8.], Action: 0, Reward: -0.0, Next state: [ 0.   33.61  4.    8.  ]
State: [ 0.   33.61  4.    8.  ], Action: 0, Reward: -0.0, Next state: [ 0.   32.96  5.    8.  ]
State: [ 0.   32.96  5.    8.  ], Action: 0, Reward: -0.0, Next state: [ 0.   33.31  6.    8.  ]
State: [ 0.   33.31  6.    8.  ], Action: 0, Reward: -0.0, Next state: [ 0.  54.9  7.   8. ]
State: [ 0.  54.9  7.   8. ], Action: 0, Reward: -0.0, Next state: [ 0.   66.26  8.    8.  ]
State: [ 0.   66.26  8.    8.  ], Action: 0, Reward: -0.0, Next state: [ 0. 75.  9.  8.]
State: [ 0. 75.  9.  8.], Action: 0, Reward: -0.0, Next state: [ 0.   78.09 10.    8.  ]
State: [ 0.   78.09 10.    8.  ], Action: 0, Reward: -0.0, Next state: [ 0.   61.45 11.    8.  ]
State: [ 0.   61.45 11.    8.  ], Action: 0, Reward: -0.0, Next state: [ 0.   59.26 12.    8.  ]
State: [ 0.   59.26 12.    8.  ], Action: 0, Reward: -0.0, Next state: [ 0. 57. 13.  8.]
State: [ 0. 57. 13.  8.], Action: 0, Reward: -570.0, Next state: [10.  61.4 14.   8. ]
